10/11/2014 19:57:44 [INFO] Generating data for new user 611844842
10/11/2014 19:57:44 [INFO] Generating data for new user 784455762
10/11/2014 19:57:44 [INFO] Generating data for new user 412517778
10/11/2014 19:57:44 [INFO] Generating data for new user 045548063
10/11/2014 19:57:44 [INFO] Generating data for new user 112304156
10/11/2014 19:57:44 [INFO] Generating data for new user 864327755
10/11/2014 19:57:44 [INFO] Generating data for new user 555215806
10/11/2014 19:57:44 [INFO] Generating data for new user 523137604
10/11/2014 19:57:44 [INFO] Generating data for new user 712440173
10/11/2014 19:57:44 [INFO] Generating data for new user 546716265
10/11/2014 19:57:44 [INFO] Generating data for new user 600244820
10/11/2014 19:57:44 [INFO] Generating data for new user 787688326
10/11/2014 19:57:44 [INFO] Generating data for new user 221008544
10/11/2014 19:57:44 [INFO] Generating data for new user 077852673
10/11/2014 19:57:44 [INFO] Generating data for new user 051305706
10/11/2014 19:57:44 [INFO] Generating data for new user 873471877
10/11/2014 19:57:44 [INFO] Generating data for new user 032664238
10/11/2014 19:57:44 [INFO] Generating data for new user 175421113
10/11/2014 19:57:44 [INFO] Generating data for new user 815047875
10/11/2014 19:57:44 [INFO] Generating data for new user 856777722
10/11/2014 19:57:44 [INFO] Generating data for new user 700752225
10/11/2014 19:57:44 [INFO] Generating data for new user 886065426
10/11/2014 19:57:44 [INFO] Generating data for new user 186581075
10/11/2014 19:57:44 [INFO] Generating data for new user 715075317
10/11/2014 19:57:44 [INFO] Generating data for new user 412763388
10/11/2014 19:57:44 [INFO] Generating data for new user 307748816
10/11/2014 19:57:44 [INFO] Generating data for new user 261357885
10/11/2014 19:57:44 [INFO] Generating data for new user 426384750
10/11/2014 19:57:44 [INFO] Generating data for new user 632834220
10/11/2014 19:57:44 [INFO] Generating data for new user 043161641
10/11/2014 19:57:44 [INFO] Generating data for new user 535846180
10/11/2014 19:57:44 [INFO] Generating data for new user 184258415
10/11/2014 19:57:44 [INFO] Generating data for new user 037618075
10/11/2014 19:57:44 [INFO] Generating data for new user 324383818
10/11/2014 19:57:44 [INFO] Generating data for new user 367741501
10/11/2014 19:57:44 [INFO] Generating data for new user 284126775
10/11/2014 19:57:44 [INFO] Generating data for new user 748117720
